activity;time;orders;items;packages;customers;products;price;weight;resource;normal;context-aware-normal;deviating
place order;2019-05-20 08:02:19;{990001};{880001,880002,880003,880004,880005,880006};{};{Majid Rafiei};{iPad mini,Fire Stick 4K,Kindle Paperwhite,Kindle,iPad mini,iPad mini};1650.98;2.098;Finance;yes;no;no;no
pick item;2019-05-20 08:25:23;{990001};{880005};{};{Majid Rafiei};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-05-20 09:05:54;{990001};{880003};{};{Majid Rafiei};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
place order;2019-05-20 09:53:14;{990002};{880007,880008,880009,880010};{};{Anahita Farhang Ghahfarokhi};{iPad Air,iPhone X,iPhone X,Echo Plus};2028.99;2.064;Finance;yes;no;no;no
place order;2019-05-20 12:06:13;{990003};{880011,880012};{};{Wil van der Aalst};{Kindle,Kindle Paperwhite};213.99;0.978;Finance;yes;no;no;no
place order;2019-05-20 13:32:12;{990004};{880013,880014,880015,880016};{};{Wil van der Aalst};{iPhone X,Echo Dot,Kindle,Echo};913.97;1.815;Finance;yes;no;no;no
place order;2019-05-20 15:24:10;{990005};{880017,880018};{};{Wil van der Aalst};{iPhone X,iPhone X};1403.0;0.344;Finance;yes;no;no;no
pick item;2019-05-20 15:53:22;{990001};{880006};{};{Majid Rafiei};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-05-20 16:11:13;{990002};{880010};{};{Anahita Farhang Ghahfarokhi};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
confirm order;2019-05-20 16:31:29;{990004};{880013,880014,880015,880016};{};{Wil van der Aalst};{iPhone X,Echo Dot,Kindle,Echo};913.97;1.815;Finance;yes;no;no;no
place order;2019-05-20 17:08:05;{990006};{880019,880020,880021,880022,880023,880024,880025};{};{Christina Rensinghof};{Echo Show 5,iPhone 11,Echo,Echo Plus,Echo Show 8,iPhone 8,Echo};1902.95;5.076;Finance;yes;no;no;no
